id;libele;description;couverture;couverture_content_type;date_creation;publier;doc_md_path
1;Buckinghamshire;Small online;../fake-data/blob/hipster.png;image/png;2020-10-06T01:53:10;false;copy Directives
2;Kuwait Sleek backing up;compress;../fake-data/blob/hipster.png;image/png;2020-10-05T19:37:53;true;Cocos (Keeling) Islands visualize
3;e-business microchip fuchsia;Checking Account;../fake-data/blob/hipster.png;image/png;2020-10-05T16:01:06;false;generating
4;Dynamic Principal;Persistent alliance;../fake-data/blob/hipster.png;image/png;2020-10-06T06:07:27;false;programming program
5;HTTP transmitting;International static Borders;../fake-data/blob/hipster.png;image/png;2020-10-06T10:51:37;false;Taka
6;enhance;SMTP;../fake-data/blob/hipster.png;image/png;2020-10-05T21:46:39;false;SDD online
7;optical Virginia XSS;copying;../fake-data/blob/hipster.png;image/png;2020-10-06T06:47:25;true;Borders matrix
8;Implementation Pre-emptive;Rustic Frozen Mouse;../fake-data/blob/hipster.png;image/png;2020-10-05T19:32:01;true;alarm matrix
9;transmit;unleash Compatible Berkshire;../fake-data/blob/hipster.png;image/png;2020-10-05T13:18:07;true;Concrete
10;e-commerce web-enabled;auxiliary Concrete Plastic;../fake-data/blob/hipster.png;image/png;2020-10-05T17:58:39;true;Shores Incredible Cotton Pizza
